# Route(b) refusal-direction recompute surface — NUMBERS ONLY.
# 40 rows x (84 last-prompt-token activation-norm features); adversarial prompt TEXT redacted per cx_hf_safety_private.
# model=Qwen/Qwen2.5-1.5B-Instruct feature_site=last_prompt_token_norm n_layers=28 kinds=residual,attn,mlp
# label: 1=refused (marker-scan), 0=answered. is_adv: 1=adversarial topic, 0=benign-matched.
row_idx	is_adv	label	L0.residual	L0.attn	L0.mlp	L1.residual	L1.attn	L1.mlp	L2.residual	L2.attn	L2.mlp	L3.residual	L3.attn	L3.mlp	L4.residual	L4.attn	L4.mlp	L5.residual	L5.attn	L5.mlp	L6.residual	L6.attn	L6.mlp	L7.residual	L7.attn	L7.mlp	L8.residual	L8.attn	L8.mlp	L9.residual	L9.attn	L9.mlp	L10.residual	L10.attn	L10.mlp	L11.residual	L11.attn	L11.mlp	L12.residual	L12.attn	L12.mlp	L13.residual	L13.attn	L13.mlp	L14.residual	L14.attn	L14.mlp	L15.residual	L15.attn	L15.mlp	L16.residual	L16.attn	L16.mlp	L17.residual	L17.attn	L17.mlp	L18.residual	L18.attn	L18.mlp	L19.residual	L19.attn	L19.mlp	L20.residual	L20.attn	L20.mlp	L21.residual	L21.attn	L21.mlp	L22.residual	L22.attn	L22.mlp	L23.residual	L23.attn	L23.mlp	L24.residual	L24.attn	L24.mlp	L25.residual	L25.attn	L25.mlp	L26.residual	L26.attn	L26.mlp	L27.residual	L27.attn	L27.mlp
29	0	0	13.587338	10.207180	6.114165	16.961044	7.107840	6.007196	21.425520	7.847701	10.633981	26.047380	11.795263	12.670362	29.143965	4.665408	14.127043	35.037674	10.660277	16.259418	34.591530	6.870061	15.458411	35.011379	8.302423	14.587718	33.996681	7.734390	14.473853	35.079372	8.820194	13.586155	39.713776	10.169827	13.958432	39.638916	9.804514	13.944502	43.875122	7.816638	16.429564	48.767326	9.643589	15.202973	56.541973	6.648551	20.546618	51.589310	12.379310	13.812796	55.809254	9.707908	16.891117	57.932121	7.587221	18.826221	63.269363	7.969700	19.418976	73.864769	7.172758	27.439510	86.209442	11.729445	25.955452	102.960876	16.733812	29.752289	118.328499	10.108749	32.189835	144.653503	22.553461	30.837051	170.109528	20.055401	31.924923	205.017761	23.231390	43.995972	254.615967	37.088284	52.224072	206.104080	33.036476	173.564682
30	0	0	13.501515	10.260936	6.004913	16.906607	7.073279	5.963720	21.132563	7.499139	10.076020	25.777800	12.068471	12.915502	29.238607	4.492337	14.486732	35.426998	11.221134	16.946548	34.621284	6.648489	16.263880	35.006523	8.466171	15.364037	34.198429	7.795328	15.218403	35.967037	7.978428	13.745692	38.398090	8.884980	14.041610	39.315891	10.854011	14.241173	43.105503	7.988541	16.101097	46.416477	9.703402	14.038384	53.439514	6.676550	19.342499	48.517845	11.047853	12.935043	51.996830	8.840116	16.440882	55.968346	7.257407	18.560806	61.492584	8.044818	20.116905	69.772797	7.158956	26.843786	84.695259	18.281487	27.113111	104.301117	16.365709	34.594654	117.947906	8.159551	34.742207	143.572998	19.952957	33.478428	162.532349	17.415787	33.274075	208.418915	27.340422	52.308441	268.727661	31.561161	70.045403	203.330124	26.995607	181.097916
31	0	0	13.482434	10.192824	6.052203	16.954288	7.119032	6.176897	21.051939	7.111653	10.032477	26.299641	12.014175	13.356096	29.253670	4.628508	14.501098	34.696896	11.526900	16.040535	34.075592	6.118476	15.625697	35.839104	8.219511	14.797627	34.999226	7.935067	15.515055	35.881218	8.688951	14.270222	38.300808	9.376201	13.575260	40.491184	10.368767	14.037271	43.892036	7.497481	15.509529	47.429688	9.205338	13.663065	55.371601	6.160037	19.433882	51.062347	11.499467	13.550901	54.461250	9.104074	15.592387	56.871330	6.875092	17.547482	63.152538	7.477405	19.381950	71.947975	6.686323	24.663658	86.322357	14.948746	25.366066	103.501526	20.659748	28.533348	115.930107	9.060434	30.445311	142.287018	20.906637	32.383564	160.895889	18.179876	30.230486	201.250900	28.700016	46.226105	264.329620	39.360142	63.353542	205.766220	32.595280	181.001694
32	0	0	13.293790	10.151818	5.891789	16.916489	7.260719	5.940383	20.961088	7.201062	9.756112	25.272627	10.783463	11.611889	28.909199	4.801775	13.999359	35.190273	10.937387	17.000341	34.343704	6.917379	15.761647	35.314789	8.340059	14.757975	34.294888	7.091980	15.229541	35.094139	8.055049	13.782236	38.264042	9.197211	13.677990	39.218739	11.013168	14.047927	43.514088	7.789265	16.171486	46.855705	9.324076	13.401349	53.617573	5.780002	17.679571	50.091431	11.618739	13.260184	52.559498	9.000587	15.293857	56.307549	7.136854	18.206329	62.584934	7.713546	19.238066	70.304825	6.906343	25.481918	84.146492	15.191868	26.694153	104.430550	18.372980	33.016514	121.461067	7.397122	35.759827	144.529510	17.744909	33.265907	168.230957	21.185936	35.989925	204.401352	25.627104	47.898483	265.616882	31.531004	66.703934	211.196564	28.892155	175.265259
33	0	0	13.460497	10.198175	5.984022	16.844595	7.046276	6.020329	20.952488	7.370852	10.123663	25.755762	11.476759	12.313178	29.139738	4.401925	14.547953	35.802059	12.036664	17.583586	34.365963	6.496583	16.063044	35.330906	7.913059	14.439478	34.659706	7.189877	14.784507	35.491554	7.221397	13.868656	38.094410	8.775991	13.529671	39.302822	10.178598	13.391566	43.366737	7.569310	14.759491	47.146336	9.053624	13.160700	54.331665	5.814917	17.832150	49.974766	10.731432	12.437638	53.538639	8.878521	15.731103	57.120220	7.345885	17.615675	62.183788	7.744734	18.448547	69.384239	7.106647	24.491632	82.896698	18.909672	24.246153	103.046562	19.094442	31.496006	116.795067	6.847520	33.831181	141.179260	19.793026	30.921803	162.962585	16.931257	33.404480	202.547699	26.943552	45.838818	255.836121	35.992523	54.994732	192.910110	29.628168	189.503357
34	0	0	13.287964	10.231456	5.789711	16.844431	6.948537	5.940236	21.389473	7.549866	10.388986	26.013508	11.720612	13.020485	28.553885	4.393987	14.016606	35.280880	11.906411	16.925093	34.323036	6.493368	16.444208	35.265835	8.032864	15.040421	34.723495	7.667377	15.194375	36.392288	9.732690	13.949203	39.369926	8.440229	13.971665	40.642010	10.460281	14.338221	42.679832	7.357147	14.538173	47.258415	9.773328	14.085548	53.458710	6.431136	17.836992	49.433876	10.614614	12.859858	53.017857	8.572203	15.831266	57.550690	7.157376	17.828577	63.301914	7.879505	19.911808	71.583618	6.974703	25.304668	83.320358	14.438107	25.119759	101.399231	20.957460	32.185154	114.804565	11.486822	32.185722	138.537109	18.784599	31.236536	158.468872	17.764412	27.983566	199.747299	24.924938	45.117981	258.044769	31.561281	55.744877	183.032578	32.037537	181.999786
35	0	0	13.593004	10.249131	6.165663	17.002693	7.019956	6.067083	21.190628	7.305646	10.060037	26.051899	12.165792	13.042344	29.157532	4.433569	14.343744	34.793537	11.152729	15.957862	34.030647	6.404799	15.437611	34.794785	8.195124	14.591264	33.813686	7.650061	15.177768	35.862904	9.644642	13.548507	38.891754	9.072110	14.205815	39.729858	10.673890	14.300552	42.694271	7.757285	15.102135	46.630634	9.590384	13.392308	53.135323	6.157011	18.086588	48.659809	10.327888	12.895947	52.694832	8.275087	15.563805	56.736919	7.330535	18.193995	63.204235	7.699888	20.320219	71.149513	6.942828	26.187450	83.819778	18.005886	24.754629	101.212830	20.361813	29.813251	117.140373	9.448787	33.451496	139.966095	17.348623	30.630735	160.025284	19.180490	29.869219	200.501022	26.980171	46.114849	264.789490	39.630302	61.981026	193.102875	33.147503	182.394821
36	0	0	13.405243	10.264030	5.903428	16.772280	7.004723	6.046820	21.211193	7.328241	10.167539	26.109070	11.818227	13.209510	28.785284	4.533778	14.213183	34.784561	11.224943	16.398499	34.241150	6.584412	16.563471	35.640911	8.338051	15.506277	34.672474	8.379870	15.947980	36.088173	9.493431	14.162303	38.610497	8.433504	14.019779	40.004528	10.420162	14.301250	42.606667	7.499321	15.348586	46.396538	9.441768	13.900345	53.796047	6.522108	19.408329	49.228451	10.567069	13.265050	52.500225	8.772824	15.781488	56.352695	6.961834	17.679174	61.560211	8.788884	19.342531	67.993813	6.699616	24.368763	81.692558	15.602347	24.708046	100.994057	29.210979	32.412323	115.732056	15.438053	33.097565	136.019852	21.010021	28.809216	160.110474	19.958506	31.668865	204.188416	28.059929	46.542339	277.533722	43.904881	65.862480	219.473541	34.482582	184.602127
37	0	0	13.554070	10.242457	6.068659	17.014946	7.117463	6.085318	21.351889	7.231268	10.006205	25.887156	11.504704	12.681082	28.986734	4.237900	14.822577	35.584492	11.797256	17.569527	34.347298	6.668988	16.872345	35.434025	8.283760	15.375180	34.901005	7.600297	15.602183	35.947479	8.615902	14.008261	38.849628	8.764334	13.876129	39.565445	10.897562	13.928946	43.671135	7.675438	15.305441	46.419956	9.521212	13.318383	53.277340	6.401608	18.067335	49.216984	10.869346	13.137522	51.947712	9.002442	15.535085	56.037975	7.041870	17.763836	61.909729	8.591254	19.863060	66.378563	7.200861	24.348112	82.797943	19.214048	25.260036	99.770035	23.710505	32.274242	119.410828	16.215929	37.015270	145.712082	20.208006	39.737846	166.606674	15.581189	33.173435	212.532913	22.707081	56.949242	288.809479	34.703735	78.569199	214.476395	32.131870	212.142532
38	0	0	13.598123	10.273448	6.167701	16.953012	6.989845	6.200304	21.250341	7.288707	10.157871	26.399109	12.172834	13.301880	29.379908	4.241372	14.647591	35.213741	10.834895	16.295038	34.390038	6.293385	16.450186	35.261097	8.135102	15.107541	35.110790	8.147843	15.458851	36.426815	8.829598	14.037185	39.849243	9.191965	14.573094	40.916645	11.057274	14.449538	43.513954	7.642859	15.115453	47.191166	9.657095	13.599566	53.881676	6.387021	18.892887	48.973564	10.522051	12.943419	52.678917	8.755199	15.684194	56.663399	7.299980	17.628157	62.149738	8.354198	19.310604	68.291946	6.901268	24.708017	85.123543	19.838200	26.424166	103.203690	21.925854	30.904829	116.154549	10.453468	32.641350	141.018723	18.832325	32.055832	160.746475	19.896601	30.058056	202.922714	31.847260	42.625561	264.956360	41.604248	57.379890	205.406708	34.612114	168.908524
39	0	1	13.135595	10.190018	5.643835	16.681993	7.013714	5.921623	20.811090	7.376959	9.869379	25.418793	11.464557	12.318954	28.416241	4.718006	13.755561	35.126038	10.525423	17.360737	34.327206	6.707969	16.614695	35.517788	8.701018	15.743428	34.122425	8.291495	16.388340	35.790211	9.941535	14.173582	38.392281	9.022756	14.150348	39.400108	11.283415	14.157575	43.403542	7.695475	15.711579	47.325176	9.677583	14.349436	54.561455	6.655169	19.401720	49.430813	11.095726	13.332366	52.283848	9.766291	16.063385	56.416138	8.281112	18.421715	62.483955	8.346039	19.690485	71.729317	7.093056	26.350361	86.518646	15.991364	27.825365	104.011574	20.607666	32.673073	118.304550	8.130948	31.876060	141.727463	15.991463	32.295441	158.066116	20.531679	33.003147	203.479553	33.357601	46.714539	255.877151	31.464499	60.130371	185.604889	31.859114	184.300613
